tag,tabela,n_snapshots
V1_rep1,silver.gps,2
V1_rep1,silver.sensor,2
V1_rep1,silver.relt_intel,2
V1_rep1,silver.paf,2
V1_rep1,silver.obstaculo,2
V1_rep1,silver.seg_area,2
V1_rep1,silver.pessoal,2
V1_rep1,silver.material,2
V1_rep2,silver.gps,2
V1_rep2,silver.sensor,2
V1_rep2,silver.relt_intel,2
V1_rep2,silver.paf,2
V1_rep2,silver.obstaculo,2
V1_rep2,silver.seg_area,2
V1_rep2,silver.pessoal,2
V1_rep2,silver.material,2
V1_rep3,silver.gps,2
V1_rep3,silver.sensor,2
V1_rep3,silver.relt_intel,2
V1_rep3,silver.paf,2
V1_rep3,silver.obstaculo,2
V1_rep3,silver.seg_area,2
V1_rep3,silver.pessoal,2
V1_rep3,silver.material,2
V1_rep4,silver.gps,2
V1_rep4,silver.sensor,2
V1_rep4,silver.relt_intel,2
V1_rep4,silver.paf,2
V1_rep4,silver.obstaculo,2
V1_rep4,silver.seg_area,2
V1_rep4,silver.pessoal,2
V1_rep4,silver.material,2
V1_rep5,silver.gps,2
V1_rep5,silver.sensor,2
V1_rep5,silver.relt_intel,2
V1_rep5,silver.paf,2
V1_rep5,silver.obstaculo,2
V1_rep5,silver.seg_area,2
V1_rep5,silver.pessoal,2
V1_rep5,silver.material,2
V1_rep6,silver.gps,2
V1_rep6,silver.sensor,2
V1_rep6,silver.relt_intel,2
V1_rep6,silver.paf,2
V1_rep6,silver.obstaculo,2
V1_rep6,silver.seg_area,2
V1_rep6,silver.pessoal,2
V1_rep6,silver.material,2
V1_rep7,silver.gps,2
V1_rep7,silver.sensor,2
V1_rep7,silver.relt_intel,2
V1_rep7,silver.paf,2
V1_rep7,silver.obstaculo,2
V1_rep7,silver.seg_area,2
V1_rep7,silver.pessoal,2
V1_rep7,silver.material,2
V1_rep8,silver.gps,2
V1_rep8,silver.sensor,2
V1_rep8,silver.relt_intel,2
V1_rep8,silver.paf,2
V1_rep8,silver.obstaculo,2
V1_rep8,silver.seg_area,2
V1_rep8,silver.pessoal,2
V1_rep8,silver.material,2
V1_rep9,silver.gps,2
V1_rep9,silver.sensor,2
V1_rep9,silver.relt_intel,2
V1_rep9,silver.paf,2
V1_rep9,silver.obstaculo,2
V1_rep9,silver.seg_area,2
V1_rep9,silver.pessoal,2
V1_rep9,silver.material,2
V1_rep10,silver.gps,2
V1_rep10,silver.sensor,2
V1_rep10,silver.relt_intel,2
V1_rep10,silver.paf,2
V1_rep10,silver.obstaculo,2
V1_rep10,silver.seg_area,2
V1_rep10,silver.pessoal,2
V1_rep10,silver.material,2
V1_rep11,silver.gps,2
V1_rep11,silver.sensor,2
V1_rep11,silver.relt_intel,2
V1_rep11,silver.paf,2
V1_rep11,silver.obstaculo,2
V1_rep11,silver.seg_area,2
V1_rep11,silver.pessoal,2
V1_rep11,silver.material,2
V1_rep12,silver.gps,2
V1_rep12,silver.sensor,2
V1_rep12,silver.relt_intel,2
V1_rep12,silver.paf,2
V1_rep12,silver.obstaculo,2
V1_rep12,silver.seg_area,2
